Date,Open,High,Low,Close
01/03/84,164.04,164.93,163.98,164.04
01/04/84,166.78,166.78,164.04,166.78
01/05/84,168.81,169.1,166.78,168.81
01/06/84,169.28,169.31,168.49,169.28
01/09/84,168.9,169.46,168.48,168.9
01/10/84,167.95,169.52,168.64,167.95
01/11/84,167.79,167.58,167.33,167.79
01/12/84,167.75,167.91,167.68,167.75
01/13/1984,167.02,168.52,166.82,167.02
01/16/1984,167.18,167.55,166.77,167.18
01/17/1984,167.83,167.84,167.01,167.83
01/18/1984,167.55,168.34,167.02,167.55
01/19/1984,167.04,167.65,166.67,167.04
01/20/1984,166.21,167.06,165.87,166.21
01/23/1984,164.87,166.21,164.83,164.87
01/24/1984,165.94,166.35,164.84,165.94
01/25/1984,164.84,167.12,164.74,164.84
01/26/1984,164.24,165.55,164.12,164.24
01/27/1984,163.94,164.33,163.07,163.94
01/30/1984,162.87,164.67,162.4,162.87
01/31/1984,163.41,163.6,162.03,163.41
02/01/84,162.74,164,162.27,162.74
02/02/84,163.36,163.36,162.24,163.36
02/03/84,160.91,163.98,160.82,160.91
02/06/84,158.08,160.91,158.02,158.08
02/07/84,158.74,158.81,157.01,158.74
02/08/84,155.85,158.65,155.07,155.85
02/09/84,155.42,156.17,154.3,155.42
02/10/84,156.3,156.52,155.42,156.3
02/13/1984,154.95,156.32,154.13,154.95
02/14/1984,156.61,156.61,154.95,156.61
02/15/1984,156.25,157.48,156.1,156.25
02/16/1984,156.13,156.44,155.44,156.13
02/17/1984,155.74,156.8,155.51,155.74
02/21/1984,154.64,155.74,154.47,154.64
02/22/1984,154.31,155.1,153.94,154.31
02/23/1984,154.29,154.45,152.13,154.29
02/24/1984,157.51,157.51,154.29,157.51
02/27/1984,159.3,159.58,157.08,159.3
02/28/1984,156.82,159.3,156.59,156.82
02/29/1984,157.06,158.27,156.41,157.06
03/01/84,158.19,158.19,156.77,158.19
03/02/84,159.24,159.9,158.19,159.24
03/05/84,157.89,159.24,157.59,157.89
03/06/84,156.25,158.37,156.21,156.25
03/07/84,154.57,156.25,153.81,154.57
03/08/84,155.19,155.8,154.35,155.19
03/09/84,154.35,155.19,153.17,154.35
03/12/84,156.34,156.35,154.35,156.34
03/13/1984,156.78,157.93,156.34,156.78
03/14/1984,156.77,157.17,156.22,156.77
03/15/1984,157.41,158.05,156.73,157.41
03/16/1984,159.27,160.45,157.41,159.27
03/19/1984,157.78,159.27,157.28,157.78
03/20/1984,158.86,159.17,157.78,158.86
03/21/1984,158.66,159.26,158.59,158.66
03/22/1984,156.69,158.67,156.61,156.69
03/23/1984,156.86,156.9,156.05,156.86
03/26/1984,156.67,157.18,156.31,156.67
03/27/1984,157.3,157.3,156.61,157.3
03/28/1984,159.88,159.9,157.3,159.88
03/29/1984,159.52,160.46,159.52,159.52
03/30/1984,159.18,159.52,158.92,159.18
04/02/84,157.98,159.87,157.63,157.98
04/03/84,157.66,158.27,157.17,157.66
04/04/84,157.54,158.11,157.29,157.54
04/05/84,155.04,158.1,154.96,155.04
04/06/84,155.48,155.48,154.12,155.48
04/09/84,155.45,155.86,154.71,155.45
04/10/84,155.87,156.57,155.45,155.87
04/11/84,155,156.31,154.9,155
04/12/84,157.73,157.74,154.17,157.73
04/13/1984,157.31,158.87,157.13,157.31
04/16/1984,158.32,158.35,156.49,158.32
04/17/1984,158.97,169.59,158.32,158.97
04/18/1984,157.9,158.97,157.64,157.9
04/19/1984,158.02,159.02,157.1,158.02
04/23/1984,156.8,158.05,156.79,156.8
04/24/1984,158.07,158.38,156.63,158.07
04/25/1984,158.65,158.77,157.8,158.65
04/26/1984,160.3,160.5,158.65,160.3
04/27/1984,159.89,160.69,159.77,159.89
04/30/1984,160.05,160.43,159.3,160.05
05/01/84,161.68,161.69,160.05,161.68
05/02/84,161.9,162.11,161.41,161.9
05/03/84,161.2,161.9,160.95,161.2
05/04/84,159.11,161.2,158.33,159.11
05/07/84,159.47,159.48,158.63,159.47
05/08/84,160.52,160.52,159.14,160.52
05/09/84,160.11,161.31,159.39,160.11
05/10/84,160,160.45,159.61,160
05/11/84,158.49,160,157.42,158.49
05/14/1984,157.5,158.49,157.2,157.5
05/15/1984,158,158.27,157.29,158
05/16/1984,157.99,158.41,157.83,157.99
05/17/1984,156.57,157.99,156.15,156.57
05/18/1984,155.78,156.77,155.24,155.78
05/21/1984,154.73,156.11,154.63,154.73
05/22/1984,153.88,154.73,152.99,153.88
05/23/1984,153.15,154.02,153.1,153.15
05/24/1984,151.23,153.15,150.8,151.23
05/25/1984,151.62,152.02,150.85,151.62
05/29/1984,150.29,151.86,149.95,150.29
05/30/1984,150.35,151.43,148.68,150.35
05/31/1984,150.55,150.69,149.76,150.55
06/01/84,153.24,153.24,150.55,153.24
06/04/84,154.34,155.1,153.24,154.34
06/05/84,153.65,154.34,153.28,153.65
06/06/84,155.01,155.03,153.38,155.01
06/07/84,154.92,155.11,154.36,154.92
06/08/84,155.17,155.2,154.64,155.17
06/11/84,153.06,155.17,153,153.06
06/12/84,152.19,153.07,151.61,152.19
06/13/1984,152.13,152.85,151.86,152.13
06/14/1984,150.39,151.89,150.7,150.39
06/15/1984,149.03,150.56,149.42,149.03
06/18/1984,151.73,151.92,148.53,151.73
06/19/1984,152.61,153,151.73,152.61
06/20/1984,154.84,154.84,150.96,154.84
06/21/1984,154.51,155.64,154.05,154.51
06/22/1984,154.47,154.92,153.89,154.47
06/25/1984,153.97,154.5,154.04,153.97
06/26/1984,152.71,153.97,152.47,152.71
06/27/1984,151.64,152.88,151.3,151.64
06/28/1984,152.84,153.07,151.62,152.84
06/29/1984,153.18,153.95,153.21,153.18
07/02/84,153.2,153.22,152.44,153.2
07/03/84,153.7,153.86,153.1,153.7
07/05/84,152.76,153.87,152.71,152.76
07/06/84,152.24,152.76,151.63,152.24
07/09/84,153.36,153.53,151.44,153.36
07/10/84,152.89,153.53,152.57,152.89
07/11/84,150.56,152.5,151.46,150.56
07/12/84,150.03,151.06,149.63,150.03
07/13/1984,150.88,151.16,150.03,150.88
07/16/1984,151.6,151.3,150.14,151.6
07/17/1984,152.38,152.6,151.26,152.38
07/18/1984,151.4,152.38,151.11,151.4
07/19/1984,150.37,151.4,150.27,150.37
07/20/1984,149.55,158.58,149.07,149.55
07/23/1984,148.95,149.55,147.85,148.95
07/24/1984,147.82,149.28,147.78,147.82
07/25/1984,148.83,149.3,147.26,148.83
07/26/1984,150.08,150.16,148.83,150.08
07/27/1984,151.19,151.38,149.99,151.19
07/30/1984,150.19,151.19,150.14,150.19
07/31/1984,150.66,151.77,149.65,150.66
08/01/84,154.08,154.08,150.66,154.08
08/02/84,157.99,157.99,154.08,157.99
08/03/84,162.35,162.56,157.99,162.35
08/06/84,162.6,165.27,162.09,162.6
08/07/84,162.71,163.58,160.81,162.71
08/08/84,161.75,163.87,161.75,161.75
08/09/84,165.54,165.88,161.47,165.54
08/10/84,165.42,168.59,165.24,165.42
08/13/1984,165.43,165.49,163.98,165.43
08/14/1984,164.42,166.09,164.28,164.42
08/15/1984,162.8,164.42,162.75,162.8
08/16/1984,163.77,164.42,162.75,163.77
08/17/1984,164.14,164.61,163.78,164.14
08/20/1984,164.94,164.94,163.76,164.94
08/21/1984,167.83,168.22,164.93,167.83
08/22/1984,167.06,168.8,166.92,167.06
08/23/1984,167.12,167.78,166.61,167.12
08/24/1984,167.51,167.52,167.12,167.51
08/27/1984,166.44,167.51,165.81,166.44
08/28/1984,167.4,167.43,166.21,167.4
08/29/1984,167.1,168.21,167.03,167.1
08/30/1984,166.6,167.19,166.55,166.6
08/31/1984,166.68,166.68,165.78,166.68
09/04/84,164.88,166.68,164.73,164.88
09/05/84,164.29,164.88,163.84,164.29
09/06/84,165.65,165.95,164.29,165.65
09/07/84,164.37,166.31,164.22,164.37
09/10/84,164.26,165.05,164.26,164.26
09/11/84,164.45,166.17,164.26,164.45
09/12/84,164.68,164.81,164.14,164.68
09/13/1984,167.94,167.94,164.68,167.94
09/14/1984,168.78,169.65,167.94,168.78
09/17/1984,168.87,169.37,167.99,168.87
09/18/1984,167.65,168.87,167.64,167.65
09/19/1984,166.94,166.94,166.89,166.94
09/20/1984,167.47,167.47,166.7,167.47
09/21/1984,165.67,168.67,165.66,165.67
09/24/1984,165.28,166.12,164.98,165.28
09/25/1984,165.62,165.97,164.45,165.62
09/26/1984,166.28,167.2,165.61,166.28
09/27/1984,166.96,167.18,166.28,166.96
09/28/1984,166.1,166.96,165.77,166.1
10/01/84,164.62,166.1,164.48,164.62
10/02/84,163.59,165.24,163.55,163.59
10/03/84,162.44,163.59,162.2,162.44
10/04/84,162.92,163.16,162.44,162.92
10/05/84,162.68,163.32,162.51,162.68
10/08/84,162.13,162.68,161.8,162.13
10/09/84,161.67,162.84,161.62,161.67
10/10/84,162.11,162.12,160.02,162.11
10/11/84,162.78,162.87,162,162.78
10/12/84,164.18,164.47,162.78,164.18
10/15/1984,165.77,166.15,164.09,165.77
10/16/1984,164.78,165.78,164.66,164.78
10/17/1984,164.14,165.04,163.71,164.14
10/18/1984,168.1,168.1,163.8,168.1
10/19/1984,167.96,169.62,167.31,167.96
10/22/1984,167.36,168.36,167.26,167.36
10/23/1984,167.09,168.27,166.83,167.09
10/24/1984,167.2,167.54,166.82,167.2
10/25/1984,166.31,167.62,166.17,166.31
10/26/1984,165.29,166.31,164.93,165.29
10/29/1984,164.78,165.29,164.67,164.78
10/30/1984,166.84,167.33,164.78,166.84
10/31/1984,166.09,166.95,165.99,166.09
11/01/84,167.49,167.83,166.09,167.49
11/02/84,167.42,167.95,167.24,167.42
11/05/84,168.58,168.58,167.33,168.58
11/06/84,170.41,170.41,168.66,170.41
11/07/84,169.17,170.3,168.55,169.17
11/08/84,168.68,169.18,168.31,168.68
11/09/84,167.6,169.35,167.48,167.6
11/12/84,167.36,167.61,166.74,167.36
11/13/1984,165.97,167.35,165.85,165.97
11/14/1984,165.99,166.37,165.49,165.99
11/15/1984,165.89,166.39,165.64,165.89
11/16/1984,164.1,166.23,164.1,164.1
11/19/1984,163.1,164.23,163.1,163.1
11/20/1984,164.18,164.43,163.18,164.18
11/21/1984,164.52,164.65,163.4,164.52
11/23/1984,166.92,166.92,164.55,166.92
11/26/1984,165.55,166.8,165.43,165.55
11/27/1984,166.29,166.79,165.17,166.29
11/28/1984,165.02,166.9,165.02,165.02
11/29/1984,163.91,164.91,163.79,163.91
11/30/1984,163.58,163.83,163.08,163.58
12/03/84,162.82,163.57,162.32,162.82
12/04/84,163.38,163.88,162.88,163.38
12/05/84,162.1,163.35,161.98,162.1
12/06/84,162.76,163.01,161.76,162.76
12/07/84,162.26,163.26,162.26,162.26
12/10/84,162.83,163.21,161.58,162.83
12/11/84,163.07,163.07,162.57,163.07
12/12/84,162.63,163.13,162.63,162.63
12/13/1984,161.81,162.81,161.56,161.81
12/14/1984,162.69,163.19,161.44,162.69
12/17/1984,163.61,163.18,162.56,163.61
12/18/1984,168.11,168.11,163.24,168.11
12/19/1984,167.16,168.91,166.91,167.16
12/20/1984,166.38,167.51,166.38,166.38
12/21/1984,165.51,166.26,164.64,165.51
12/24/1984,166.76,166.89,165.51,166.76
12/26/1984,166.47,166.72,166.35,166.47
12/27/1984,165.75,166.5,165.63,165.75
12/28/1984,166.26,166.26,165.76,166.26
12/31/1984,167.24,169.24,166.12,167.24
01/02/85,165.37,167.12,165.25,165.37
01/03/85,164.57,166.07,164.45,164.57
