Date,Open,High,Low,Close,
01/03/17,"2,251.57","2,263.88","2,245.13","2,257.83",
01/04/17,"2,261.60","2,272.82","2,261.60","2,270.75",
01/05/17,"2,268.18","2,271.50","2,260.45","2,269.00",
01/06/17,"2,271.14","2,282.10","2,264.06","2,276.98",
01/09/17,"2,273.59","2,275.49","2,268.90","2,268.90",
01/10/17,"2,269.72","2,279.27","2,265.27","2,268.90",
01/11/17,"2,268.60","2,275.32","2,260.83","2,275.32",
01/12/17,"2,271.14","2,271.78","2,254.25","2,270.44",
01/13/2017,"2,272.74","2,278.68","2,271.51","2,274.64",
01/17/2017,"2,269.14","2,272.08","2,262.81","2,267.89",
01/18/2017,"2,269.14","2,272.01","2,263.35","2,271.89",
01/19/2017,"2,271.90","2,274.33","2,258.41","2,263.69",
01/20/2017,"2,269.96","2,276.96","2,265.01","2,271.31",
01/23/2017,"2,267.78","2,271.78","2,257.02","2,265.20",
01/24/2017,"2,267.88","2,284.63","2,266.68","2,280.07",
01/25/2017,"2,288.88","2,299.55","2,288.88","2,298.37",
01/26/2017,"2,298.63","2,300.99","2,294.08","2,296.68",
01/27/2017,"2,299.02","2,299.02","2,291.62","2,294.69",
01/30/2017,"2,286.01","2,286.01","2,268.04","2,280.90",
01/31/2017,"2,274.02","2,279.09","2,267.21","2,278.87",
02/01/17,"2,285.59","2,289.14","2,272.44","2,279.55",
02/02/17,"2,276.69","2,283.97","2,271.65","2,280.85",
02/03/17,"2,288.54","2,298.31","2,287.88","2,297.42",
02/06/17,"2,294.28","2,296.18","2,288.57","2,292.56",
02/07/17,"2,295.87","2,299.40","2,290.16","2,293.08",
02/08/17,"2,289.55","2,295.91","2,285.38","2,294.67",
02/09/17,"2,296.70","2,311.08","2,296.61","2,307.87",
02/10/17,"2,312.27","2,319.23","2,311.10","2,316.10",
02/13/2017,"2,321.72","2,331.58","2,321.42","2,328.25",
02/14/2017,"2,326.12","2,337.58","2,322.17","2,337.58",
02/15/2017,"2,335.58","2,351.30","2,334.81","2,349.25",
02/16/2017,"2,349.64","2,351.31","2,338.87","2,347.22",
02/17/2017,"2,343.01","2,351.16","2,339.58","2,351.16",
02/21/2017,"2,354.91","2,366.71","2,354.91","2,365.38",
02/22/2017,"2,361.11","2,365.13","2,358.34","2,362.82",
02/23/2017,"2,367.50","2,368.26","2,355.09","2,363.81",
02/24/2017,"2,355.73","2,367.34","2,352.87","2,367.34",
02/27/2017,"2,365.23","2,371.54","2,361.87","2,369.75",
02/28/2017,"2,366.08","2,367.79","2,358.96","2,363.64",
03/01/17,"2,380.13","2,400.98","2,380.13","2,395.96",
03/02/17,"2,394.75","2,394.75","2,380.17","2,381.92",
03/03/17,"2,380.92","2,383.89","2,375.39","2,383.12",
03/06/17,"2,375.23","2,378.80","2,367.98","2,375.31",
03/07/17,"2,370.74","2,375.12","2,365.51","2,368.39",
03/08/17,"2,369.81","2,373.09","2,361.01","2,362.98",
03/09/17,"2,363.49","2,369.08","2,354.54","2,364.87",
03/10/17,"2,372.52","2,376.86","2,363.04","2,372.60",
03/13/2017,"2,371.56","2,374.42","2,368.52","2,373.47",
03/14/2017,"2,368.55","2,368.55","2,358.18","2,365.45",
03/15/2017,"2,370.34","2,390.01","2,368.94","2,385.26",
03/16/2017,"2,387.71","2,388.10","2,377.18","2,381.38",
03/17/2017,"2,383.71","2,385.71","2,377.64","2,378.25",
03/20/2017,"2,378.24","2,379.55","2,369.66","2,373.47",
03/21/2017,"2,379.32","2,381.93","2,341.90","2,344.02",
03/22/2017,"2,343.00","2,351.81","2,336.45","2,348.45",
03/23/2017,"2,345.97","2,358.92","2,342.13","2,345.96",
03/24/2017,"2,350.42","2,356.22","2,335.74","2,343.98",
03/27/2017,"2,329.11","2,344.90","2,322.25","2,341.59",
03/28/2017,"2,339.79","2,363.78","2,337.63","2,358.57",
03/29/2017,"2,356.54","2,363.36","2,352.94","2,361.13",
03/30/2017,"2,361.31","2,370.42","2,358.58","2,368.06",
03/31/2017,"2,364.82","2,370.35","2,362.60","2,362.72",
04/03/17,"2,362.34","2,365.87","2,344.73","2,358.84",
04/04/17,"2,354.76","2,360.53","2,350.72","2,360.16",
04/05/17,"2,366.59","2,378.36","2,350.52","2,352.95",
04/06/17,"2,353.79","2,364.16","2,348.90","2,357.49",
04/07/17,"2,356.59","2,363.76","2,350.74","2,355.54",
04/10/17,"2,357.16","2,366.37","2,351.50","2,357.16",
04/11/17,"2,353.92","2,355.22","2,337.25","2,353.78",
04/12/17,"2,352.15","2,352.72","2,341.18","2,344.93",
04/13/2017,"2,341.98","2,348.26","2,328.95","2,328.95",
04/17/2017,"2,332.62","2,349.14","2,332.51","2,349.01",
04/18/2017,"2,342.53","2,348.35","2,334.54","2,342.19",
04/19/2017,"2,346.79","2,352.63","2,335.05","2,338.17",
04/20/2017,"2,342.69","2,361.37","2,340.91","2,355.84",
04/21/2017,"2,354.74","2,356.18","2,344.51","2,348.69",
04/24/2017,"2,370.33","2,376.98","2,369.19","2,374.15",
04/25/2017,"2,381.51","2,392.48","2,381.15","2,388.61",
04/26/2017,"2,388.98","2,398.16","2,386.76","2,387.45",
04/27/2017,"2,389.70","2,392.10","2,382.68","2,388.77",
04/28/2017,"2,393.68","2,393.68","2,382.36","2,384.20",
05/01/17,"2,388.50","2,394.49","2,384.83","2,388.33",
